id,orig_word_count,orig_sentence_count,orig_avg_sentence_length,orig_avg_word_length,orig_unique_word_ratio,orig_content_word_ratio,orig_punctuation_count,orig_capital_letter_ratio,summ_word_count,summ_sentence_count,summ_avg_sentence_length,summ_avg_word_length,summ_unique_word_ratio,summ_content_word_ratio,summ_punctuation_count,summ_capital_letter_ratio
50,97,4,24.25,5.257731958762887,0.7216494845360825,0.5876288659793815,12,0.006734006734006734,35,1,35.0,5.285714285714286,0.8571428571428571,0.5714285714285714,2,0.009216589861751152
51,95,5,19.0,4.968421052631579,0.7263157894736842,0.5157894736842106,8,0.008976660682226212,26,1,26.0,4.846153846153846,0.8846153846153846,0.5,0,0.013245033112582781
52,90,3,30.0,5.5777777777777775,0.7333333333333333,0.5777777777777777,13,0.01384083044982699,87,1,87.0,5.735632183908046,0.7471264367816092,0.5977011494252874,10,0.01391304347826087
53,94,4,23.5,5.627659574468085,0.7340425531914894,0.6063829787234043,13,0.008210180623973728,51,1,51.0,5.627450980392157,0.7843137254901961,0.5882352941176471,6,0.00906344410876133
54,91,4,22.75,5.43956043956044,0.7582417582417582,0.5604395604395604,8,0.006932409012131715,42,1,42.0,5.595238095238095,0.8095238095238095,0.6190476190476191,2,0.0072992700729927005
55,94,4,23.5,5.23404255319149,0.6382978723404256,0.5319148936170213,11,0.008710801393728223,46,1,46.0,5.391304347826087,0.8043478260869565,0.5652173913043478,3,0.006896551724137931
56,93,3,31.0,5.172043010752688,0.6344086021505376,0.5161290322580645,8,0.005309734513274336,90,1,90.0,5.311111111111111,0.6444444444444445,0.5333333333333333,5,0.005338078291814947
57,96,4,24.0,5.5,0.6979166666666666,0.5520833333333334,20,0.006633499170812604,35,1,35.0,5.3428571428571425,0.7714285714285715,0.5142857142857142,8,0.009389671361502348
58,92,3,30.666666666666668,5.391304347826087,0.7717391304347826,0.532608695652174,8,0.01896551724137931,89,1,89.0,5.53932584269663,0.7865168539325843,0.550561797752809,5,0.019064124783362217
59,93,4,23.25,5.688172043010753,0.8279569892473119,0.5698924731182796,12,0.008210180623973728,38,1,38.0,5.947368421052632,0.9473684210526315,0.6052631578947368,2,0.007662835249042145
60,98,4,24.5,5.142857142857143,0.7857142857142857,0.5204081632653061,13,0.006802721088435374,47,1,47.0,5.085106382978723,0.8085106382978723,0.46808510638297873,6,0.007168458781362007
61,94,4,23.5,5.329787234042553,0.7446808510638298,0.5425531914893617,11,0.010291595197255575,42,1,42.0,5.738095238095238,0.8809523809523809,0.5476190476190477,2,0.007142857142857143
62,95,5,19.0,4.968421052631579,0.7157894736842105,0.5368421052631579,12,0.030797101449275364,43,1,43.0,5.046511627906977,0.9302325581395349,0.6046511627906976,1,0.01171875
63,95,4,23.75,5.2,0.7157894736842105,0.5684210526315789,11,0.008695652173913044,38,1,38.0,5.631578947368421,0.868421052631579,0.6052631578947368,1,0.008
64,92,3,30.666666666666668,5.1521739130434785,0.6630434782608695,0.5108695652173914,6,0.007207207207207207,89,1,89.0,5.292134831460674,0.6741573033707865,0.5280898876404494,3,0.007246376811594203
65,87,4,21.75,5.9655172413793105,0.7586206896551724,0.6091954022988506,5,0.006666666666666667,37,1,37.0,5.72972972972973,0.8918918918918919,0.5675675675675675,1,0.008097165991902834
66,92,4,23.0,5.130434782608695,0.6521739130434783,0.5,10,0.007339449541284404,36,1,36.0,5.111111111111111,0.7777777777777778,0.5277777777777778,1,0.009259259259259259
67,87,4,21.75,5.528735632183908,0.7471264367816092,0.5977011494252874,5,0.007168458781362007,34,1,34.0,4.764705882352941,0.8823529411764706,0.5294117647058824,1,0.010526315789473684
68,95,4,23.75,4.936842105263158,0.6631578947368421,0.5157894736842106,12,0.007312614259597806,41,1,41.0,4.829268292682927,0.7804878048780488,0.5365853658536586,2,0.00847457627118644
69,93,4,23.25,5.247311827956989,0.6989247311827957,0.5913978494623656,9,0.01926444833625219,31,1,31.0,5.032258064516129,0.8064516129032258,0.5161290322580645,2,0.021739130434782608
70,90,4,22.5,5.688888888888889,0.6777777777777778,0.5666666666666667,12,0.022071307300509338,36,1,36.0,5.861111111111111,0.8055555555555556,0.5,3,0.01646090534979424
71,93,4,23.25,5.129032258064516,0.7419354838709677,0.5591397849462365,10,0.008976660682226212,37,1,37.0,5.675675675675675,0.8648648648648649,0.5405405405405406,1,0.012244897959183673
72,90,3,30.0,5.666666666666667,0.6333333333333333,0.5777777777777777,12,0.005110732538330494,87,1,87.0,5.827586206896552,0.6436781609195402,0.5977011494252874,9,0.005136986301369863
73,94,4,23.5,5.276595744680851,0.6382978723404256,0.5531914893617021,15,0.006968641114982578,50,1,50.0,5.64,0.62,0.58,7,0.006172839506172839
74,101,3,33.666666666666664,4.603960396039604,0.6336633663366337,0.504950495049505,12,0.04189435336976321,98,1,98.0,4.714285714285714,0.6428571428571429,0.5204081632653061,9,0.04212454212454213
75,90,3,30.0,5.711111111111111,0.6777777777777778,0.5777777777777777,9,0.020202020202020204,87,1,87.0,5.873563218390805,0.6896551724137931,0.5977011494252874,6,0.02030456852791878
76,101,3,33.666666666666664,4.920792079207921,0.6237623762376238,0.5445544554455446,16,0.012048192771084338,98,1,98.0,5.040816326530612,0.6326530612244898,0.5612244897959183,13,0.012110726643598616
77,96,3,32.0,5.395833333333333,0.7604166666666666,0.5729166666666666,7,0.006600660066006601,93,1,93.0,5.537634408602151,0.7741935483870968,0.5913978494623656,4,0.006633499170812604
78,93,3,31.0,5.559139784946237,0.6881720430107527,0.5698924731182796,10,0.018333333333333333,90,1,90.0,5.711111111111111,0.7,0.5888888888888889,7,0.018425460636515914
79,96,3,32.0,5.239583333333333,0.6770833333333334,0.53125,10,0.005136986301369863,93,1,93.0,5.376344086021505,0.6881720430107527,0.5483870967741935,7,0.0051635111876075735
80,99,3,33.0,5.4646464646464645,0.6363636363636364,0.5252525252525253,20,0.004846526655896607,96,1,96.0,5.604166666666667,0.6458333333333334,0.5416666666666666,17,0.00487012987012987
81,106,3,35.333333333333336,4.650943396226415,0.660377358490566,0.4339622641509434,13,0.006932409012131715,103,1,103.0,4.757281553398058,0.6699029126213593,0.44660194174757284,10,0.006968641114982578
82,101,4,25.25,4.782178217821782,0.6732673267326733,0.504950495049505,11,0.01056338028169014,45,1,45.0,4.733333333333333,0.7555555555555555,0.4666666666666667,3,0.007936507936507936
83,98,3,32.666666666666664,5.081632653061225,0.7040816326530612,0.5204081632653061,12,0.008665511265164644,95,1,95.0,5.2105263157894735,0.7157894736842105,0.5368421052631579,9,0.008710801393728223
84,92,4,23.0,5.3478260869565215,0.8043478260869565,0.5652173913043478,8,0.010434782608695653,47,1,47.0,5.319148936170213,0.851063829787234,0.5531914893617021,3,0.006825938566552901
85,94,3,31.333333333333332,5.127659574468085,0.7127659574468085,0.5319148936170213,12,0.015985790408525755,91,1,91.0,5.263736263736264,0.7252747252747253,0.5494505494505495,9,0.01607142857142857
86,94,4,23.5,5.75531914893617,0.6595744680851063,0.5638297872340425,11,0.006420545746388443,36,1,36.0,5.861111111111111,0.8888888888888888,0.6666666666666666,1,0.00816326530612245
87,92,4,23.0,5.554347826086956,0.7608695652173914,0.5760869565217391,11,0.006791171477079796,37,1,37.0,5.72972972972973,0.8108108108108109,0.5675675675675675,4,0.008264462809917356
88,96,4,24.0,5.635416666666667,0.7083333333333334,0.5729166666666666,12,0.00641025641025641,52,1,52.0,5.673076923076923,0.7884615384615384,0.6153846153846154,6,0.0058823529411764705
